Snow totals for each winter in inches,,,,,,,,,,,,
,,,,,,,,,,,,
Year,October,November,December,January,February,March,April,May,Total,,,
2005-2006,0,T,2,1,T,T,0,0,3,,,
2006-2007,0,1.9,1.7,6.5,1.7,T,0,0,11.8,,,
2007-2008,0,2,5.2,22,4.5,2,0,0,35.7,,,
2008-2009,0,0,11.3,5.7,T,0.4,1.5,0,18.9,,,
2009-2010,0,T,3.7,1,0,0,0,0,4.7,,,
2010-2011,0,9.7,3.3,3.1,0.6,T,T,0,16.7,,,
2011-2012,0,0.4,0.1,11,0.1,2,T,0,13.6,,,
2012-2013,0,1,10.5,5.9,0.8,T,0,0,18.2,,,
2013-2014,0,0.2,2.2,1.7,9.5,1.7,0,0,15.3,,,
2014-2015,0,0.2,0.2,1.8,0.5,0,0,0,2.7,,,
2015-2016,0,2,13.4,1.4,0,T,0,0,16.8,,,
2016-2017,0,T,11.4,7.6,8.9,T,0,0,27.9,,,
2017-2018,0,1,4.2,T,4.7,1,0,0,10.9,,,
2018-2019,0,0,3.4,T,17.6,3.6,0,0,24.6,,,
2019-2020,0,T,2.9,4.6,5,1.7,0,0,14.2,,,
TOTAL,2.3,176.79,467.64,538.2,271.63,66.1,6.2,0.5,1535.66,,,
AVERAGE,0.02,2.27,5.03,5.73,3.23,0.88,0.07,0.01,15.36,,,
